Indicadores municipales de sostenibilidad: Personas extranjeras beneficiarias de Renta de Garantía de Ingresos (% personas extranjeras);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
20053;Lezo;6,08;4,64;5,68;5,08;4,36;5,80;5,81;6,44;7,29;12,44
20054;Lizartza;4,82;2,78;7,06;4,17;4,55;8,96;5,17;7,55;10,53;3,85
48903;Loiu;1,98;1,84;3,03;2,07;1,12;0,78;0,97;2,38;2,78;1,50
48058;Mallabia;5,41;3,08;6,56;10,20;5,77;2,44;2,56;0,00;0,00;6,00
48060;Markina-Xemein;6,79;6,31;8,39;6,78;4,68;8,01;9,52;12,01;14,90;15,56
48061;Maruri-Jatabe;2,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48059;Mañaria;5,26;6,67;3,33;7,14;6,67;7,41;10,00;7,14;4,76;2,78
20901;Mendaro;10,10;8,25;9,36;8,88;6,78;9,38;9,88;10,56;14,79;11,27
48062;Mendata;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48063;Mendexa;0,00;0,00;0,00;0,00;0,00;4,55;7,69;12,50;10,00;5,88
48064;Meñaka;0,00;0,00;7,14;10,00;12,50;10,00;9,09;9,09;11,11;8,33
01039;Moreda de Álava / Moreda Araba;4,17;9,09;7,14;15,38;0,00;5,88;5,56;0,00;0,00;0,00
48066;Morga;21,43;27,27;7,14;8,33;6,25;6,67;6,25;7,14;5,88;5,88
48068;Mundaka;3,77;3,23;3,03;4,48;2,78;1,56;1,92;7,25;8,82;13,16
48069;Mungia;8,47;7,11;8,28;9,76;9,54;11,29;15,09;14,37;14,64;13,66
48007;Munitibar-Arbatzegi Gerrikaitz-;3,45;7,69;4,35;3,57;4,17;4,17;5,88;6,67;7,69;11,11
48908;Murueta;0,00;7,14;22,22;28,57;0,00;0,00;0,00;0,00;0,00;0,00
48071;Muskiz;5,26;5,85;7,89;8,61;8,05;9,45;11,84;10,83;9,91;14,61
20057;Mutiloa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20056;Mutriku;6,80;5,41;6,36;6,63;7,50;8,40;8,80;11,41;13,03;10,69
48067;Muxika;2,91;1,85;1,27;1,18;0,00;0,00;0,00;2,50;6,82;2,63
48909;Nabarniz;7,14;7,14;0,00;0,00;0,00;0,00;12,50;10,00;10,00;10,00
01041;Navaridas;0,00;0,00;2,22;2,22;2,50;2,50;2,56;1,45;1,41;1,52
20063;Oiartzun;7,38;6,51;7,49;7,74;5,31;5,86;5,45;6,67;6,16;8,85
01042;Okondo;9,62;6,56;5,45;8,47;8,45;11,48;15,38;18,18;18,00;17,95
20058;Olaberria;4,00;1,90;1,15;2,27;3,85;5,97;7,02;6,45;0,00;3,92
48073;Ondarroa;6,90;6,89;7,61;6,03;4,47;6,39;7,25;8,94;12,33;12,21
20076;Ordizia;6,30;5,61;6,03;5,81;5,18;6,04;5,78;6,17;4,77;4,99
20905;Orendain;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20060;Orexa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20061;Orio;7,89;6,11;7,36;8,49;6,92;10,36;11,73;10,67;7,28;8,11
20062;Ormaiztegi;6,72;7,45;11,36;7,14;8,89;10,00;8,40;5,56;2,34;4,17
48075;Orozko;10,40;12,76;9,05;8,47;8,28;11,51;11,03;11,45;16,30;19,26
48083;Ortuella;8,43;6,30;6,92;6,33;7,37;5,66;7,83;9,64;10,53;12,00
