Indicadores municipales de sostenibilidad: Mujeres beneficiarias de Renta de Garantía de Ingresos (? mujeres);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
48086;Sopuerta;17,37;18,33;19,15;20,27;23,02;28,82;30,98;36,16;37,15;32,74
20065;Soraluze-Placencia de las Armas;39,18;31,22;28,99;37,10;34,54;37,77;39,55;41,39;47,97;44,72
48076;Sukarrieta;11,30;5,81;5,92;12,20;24,10;41,67;29,94;29,76;23,26;22,86
20071;Tolosa;20,38;16,96;16,56;19,81;20,08;19,56;20,07;21,84;23,57;23,89
48087;Trucios-Turtzioz;42,80;34,62;42,64;47,62;46,69;60,00;59,29;51,38;38,91;39,84
48088;Ubide;35,71;11,24;25,97;26,32;25,00;24,39;22,73;22,22;35,71;22,73
48065;Ugao-Miraballes;20,06;19,04;18,31;20,73;19,69;27,20;25,62;24,67;22,69;22,07
48089;Urduliz;14,72;14,72;19,39;18,55;16,63;16,68;17,60;20,73;22,42;22,70
48074;Urduña/Orduña;38,42;36,65;38,79;41,54;36,21;36,56;40,86;44,12;44,73;41,48
01054;Urkabustaiz;39,16;33,00;33,48;23,15;24,82;22,16;21,02;19,82;15,38;14,42
20072;Urnieta;16,65;15,50;15,93;15,27;10,93;11,57;14,76;16,73;18,51;18,86
20077;Urretxu;17,08;14,81;18,03;19,46;18,46;19,71;20,70;19,11;19,42;21,26
20073;Usurbil;17,17;13,26;11,39;15,04;12,55;11,89;12,91;16,12;17,29;16,94
01055;Valdegovía/Gaubea;22,86;17,61;18,55;21,48;18,63;10,50;12,45;4,28;6,33;14,61
48080;Valle de Trápaga-Trapagaran;22,85;20,05;21,59;24,09;24,85;29,37;37,44;39,40;39,43;42,85
20075;Villabona;21,32;19,86;23,38;25,75;24,48;22,22;21,10;23,19;23,44;25,66
01057;Villabuena de Álava/Eskuernaga;7,04;7,14;14,29;7,04;7,25;6,58;13,07;19,87;0,00;6,76
01059;Vitoria-Gasteiz;35,39;30,38;32,52;31,92;28,65;28,89;30,58;32,18;31,81;32,27
01060;Yécora/Iekora;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48095;Zaldibar;22,52;22,16;22,67;16,48;19,19;19,72;19,08;21,05;24,17;24,93
